compound_name,smiles,molecular_weight,log_p,tpsa,h_bond_donors,h_bond_acceptors,log_kp_measured,n_measurements,measurement_spread,in_domain,source,doi
m-Cresol,Cc1cccc(O)c1,108.14,1.7,20.23,1,1,-1.817,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/j.2042-7158.1977.tb11434.x
m-Nitrophenol,O=[N+]([O-])c1cccc(O)c1,139.11,1.3,63.37,1,3,-2.249,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/j.2042-7158.1977.tb11434.x
n-Hexyl nicotinate,CCCCCCOC(=O)c1cccnc1,207.27,2.82,39.19,0,3,-1.747,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600800114
o-Chlorophenol,Oc1ccccc1Cl,128.56,2.05,20.23,1,1,-1.481,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/j.2042-7158.1977.tb11434.x
o-Cresol,Cc1ccccc1O,108.14,1.7,20.23,1,1,-1.804,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/j.2042-7158.1977.tb11434.x
o-Cresyl glycidyl ether,Cc1ccccc1OCC1CO1,164.2,1.77,21.76,0,2,-4.032,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1080/004982500237488
o-Phenylenediamine,Nc1ccccc1N,108.14,0.85,52.04,2,2,-3.347,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12263302
o-t-Butylphenol,CC(C)(C)c1ccccc1O,150.22,2.69,20.23,1,1,-1.129,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-009-9912-4
p-Bromophenol,Oc1ccc(Br)cc1,173.01,2.15,20.23,1,1,-1.443,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/j.2042-7158.1977.tb11434.x
p-Chlorophenol,Oc1ccc(Cl)cc1,128.56,2.05,20.23,1,1,-1.44,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/j.2042-7158.1977.tb11434.x
p-Cresol,Cc1ccc(O)cc1,108.14,1.7,20.23,1,1,-1.339,2,0.836,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12277592; 10.1111/j.2042-7158.1977.tb11434.x
p-Ethylphenol,CCc1ccc(O)cc1,122.17,1.95,20.23,1,1,-1.458,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/j.2042-7158.1977.tb11434.x
p-Nitrophenol,O=[N+]([O-])c1ccc(O)cc1,139.11,1.3,63.37,1,3,-2.254,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/j.2042-7158.1977.tb11434.x
p-Phenylenediamine,Nc1ccc(N)cc1,108.14,0.85,52.04,2,2,-3.62,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12263302
p-n-Butylphenol,CCCCc1ccc(O)cc1,150.22,2.73,20.23,1,1,-1.115,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-009-9912-4
